[2025-08-10 23:54:28] [INFO] Impact Tactics Logger started at 08/10/2025 23:54:28
[2025-08-10 23:54:28] [INFO] Log file: C:\ProgramData\CustomSecurityLogs\CUSTOM_LOGGERS\Impact_20250810_235428.log
[2025-08-10 23:54:28] [INFO] PowerShell Version: 5.1.26100.4652
[2025-08-10 23:54:28] [INFO] OS: Microsoft Windows 11 Home Single Language
[2025-08-10 23:54:28] [INFO] OT Environment Monitoring Enabled
[2025-08-10 23:54:28] [INFO] Sysmon service detected and running: Sysmon
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Git\mingw64\bin\git.exe | CommandLine: git.exe for-each-ref --sort -committerdate --format %%(refname)%%00%%(objectname)%%00%%(*objectname) | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Git\cmd\git.exe | CommandLine: "C:\Program Files\Git\cmd\git.exe" for-each-ref --sort -committerdate --format %%(refname)%%00%%(objectname)%%00%%(*objectname) | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Docker\Docker\resources\bin\docker.exe | CommandLine: "C:\Program Files\Docker\Docker\resources\bin\docker.exe" context ls --format "{{json .}}" | Technique: T1485 - Data Destruction
[2025-08-10 23:55:08] [WARNING] Potential data destruction command detected | EventID: 1 | Process: C:\Program Files\Git\mingw64\bin\git.exe | CommandLine: git.exe for-each-ref --sort -committerdate --format %%(refname)%%00%%(objectname)%%00%%(*objectname) | Technique: T1485 - Data Destruction
