[2025-08-10 23:04:40] [INFO] Exfiltration Logger started at 08/10/2025 23:04:40
[2025-08-10 23:04:40] [INFO] Log file: C:\ProgramData\CustomSecurityLogs\CUSTOM_LOGGERS\Exfiltration_20250810_230440.log
[2025-08-10 23:04:40] [INFO] PowerShell Version: 5.1.26100.4652
[2025-08-10 23:04:40] [INFO] OS: Microsoft Windows 11 Home Single Language
[2025-08-10 23:04:40] [INFO] OT Environment Detection Enabled
[2025-08-10 23:04:40] [INFO] Sysmon service detected and running: Sysmon
[2025-08-10 23:04:40] [INFO] Starting exfiltration monitoring loop...
[2025-08-10 23:05:15] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\backgroundTaskHost.exe | PID: 46988 | TargetFile: C:\Users\Swaraj\AppData\Local\Packages\Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe\TempState\FBHubApp_20250810T230423_60be902a-ec9b-470c-9863-584613d2fdf9.log | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:07:01] [INFO] DNS query to cloud service domain | EventID: 22 | Process: <unknown process> | PID: 47492 | Technique: T1567 - Exfiltration Over Web Service | Additional: QueryName:github.com|Domain:github.com
[2025-08-10 23:07:33] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.21854.0_x64__8wekyb3d8bbwe\HxTsr.exe | PID: 23692 | TargetFile: C:\Users\Swaraj\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\AC\Temp\mat-debug-23692.log | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:18] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\Explorer.EXE | PID: 40404 | TargetFile: C:\Users\Swaraj\AppData\Local\Temp\xml_file (304).xml | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:18] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\Explorer.EXE | PID: 40404 | TargetFile: C:\Users\Swaraj\AppData\Local\Temp\xml_file (303).xml | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:52] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\wermgr.exe | PID: 8968 | TargetFile: C:\ProgramData\Microsoft\Windows\WER\Temp\fb1d664f-9fb5-4ec5-855e-2c391fc2c328 | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:52] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\wermgr.exe | PID: 8968 | TargetFile: C:\ProgramData\Microsoft\Windows\WER\Temp\24ae254c-8382-4c7c-a8d6-921c30cc10d8 | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:52] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\wermgr.exe | PID: 8968 | TargetFile: C:\ProgramData\Microsoft\Windows\WER\Temp\8e748214-f109-4652-b808-90dce8c90bb0 | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:52] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\wermgr.exe | PID: 8968 | TargetFile: C:\ProgramData\Microsoft\Windows\WER\Temp\36a25df3-f2fe-4bec-8c41-393173c6ac26 | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:52] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\wermgr.exe | PID: 8968 | TargetFile: C:\ProgramData\Microsoft\Windows\WER\Temp\517f757e-c4cc-4424-940c-f726b32412c5 | Technique: T1020 - Automated Exfiltration
[2025-08-10 23:09:52] [INFO] OT file moved to potential staging location | EventID: 11 | Process: C:\WINDOWS\system32\wermgr.exe | PID: 8968 | TargetFile: C:\ProgramData\Microsoft\Windows\WER\Temp\45bee812-da91-4dff-b35f-c678b19515ee | Technique: T1020 - Automated Exfiltration
